id,movie_name,time,year,nation,director,company,grade,actor1,actor2,actor3,poster_url,link_url,user_rating,genre_id
438,마다가스카의 펭귄,91,20141231,미국,에릭 다넬,씨제이이앤엠(주),전체관람가,312,572,938,https://ssl.pstatic.net/imgmovie/mdi/mit110/1142/114276_P04_111037.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=114276,8.69,12
439,"님아, 그 강을 건너지 마오",85,20141127,한국,진모영,아거스필름,전체관람가,313,650,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1300/130013_P05_132145.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130013,9.23,3
440,기술자들,116,20141224,한국,김홍선,(주)트리니티엔터테인먼트,15세이상관람가,314,127,551,https://ssl.pstatic.net/imgmovie/mdi/mit110/1177/117790_P26_133438.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=117790,7.09,8
441,호빗: 다섯 군대 전투,144,20141217,미국,피터 잭슨,워너브러더스 코리아(주),12세이상관람가,260,605,310,https://ssl.pstatic.net/imgmovie/mdi/mit110/0978/97816_P15_141830.JPG,https://movie.naver.com/movie/bi/mi/basic.nhn?code=97816,8.48,14
442,개를 훔치는 완벽한 방법,109,20141231,한국,김성호,(주)삼거리픽쳐스,전체관람가,178,651,939,https://ssl.pstatic.net/imgmovie/mdi/mit110/1120/112040_P24_101417.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=112040,9.03,4
443,눈의 여왕 2: 트롤의 마법거울,78,20141224,러시아,알렉세이 트시칠린,씨네그루(주)다우기술,전체관람가,,,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1297/129783_P20_114849.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129783,7.65,12
444,상의원,127,20141224,한국,이원석,(주)영화사비단길,15세이상관람가,315,267,259,https://ssl.pstatic.net/imgmovie/mdi/mit110/1177/117774_P35_142127.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=117774,7.82,9
445,인터스텔라,169,20141106,미국,크리스토퍼 놀란,워너브러더스 코리아(주),12세이상관람가,316,321,774,https://ssl.pstatic.net/imgmovie/mdi/mit110/1495/149545_P01_162408.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149545,4.01,18
446,분노의 질주: 더 세븐,137,20150401,미국,제임스 완,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,317,652,899,https://ssl.pstatic.net/imgmovie/mdi/mit110/1099/109905_P27_113938.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109905,9.11,13
447,스물,115,20150325,한국,이병헌,(주)영화나무,15세이상관람가,314,653,940,https://ssl.pstatic.net/imgmovie/mdi/mit110/1691/169122_P01_133955.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169122,0,16
448,위플래쉬,106,20150312,미국,데이미언 셔젤,(주)쇼박스,15세이상관람가,318,654,,,https://movie.naver.com/movie/bi/mi/basic.nhn?code=133114,9.75,4
449,킹스맨 : 시크릿 에이전트,128,20150211,미국,매튜 본,이십세기폭스코리아(주),청소년관람불가,217,655,263,https://ssl.pstatic.net/imgmovie/mdi/mit110/1142/114249_P62_111022.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=114249,8.82,13
450,신데렐라,113,20150319,미국,케네스 브래너,월트디즈니컴퍼니코리아(주),전체관람가,319,656,285,https://ssl.pstatic.net/imgmovie/mdi/mit110/1819/181959_P11_114544.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181959,6.43,5
451,인서전트,119,20150325,미국,로베르트 슈벤트케,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,320,657,469,https://ssl.pstatic.net/imgmovie/mdi/mit110/1194/119452_P23_132919.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=119452,6.93,18
