movie_code,movie_name,time,year,nation,director,company,grade,genre1,genre2,genre3,actor1,actor2,actor3
20080230,천일의 스캔들,115,20080320,미국,저스틴 채드윅,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,사극,멜로/로맨스,,나탈리 포트만,스칼렛 요한슨,에릭 바나
20080226,숙명,123,20080320,한국,김해곤,엠케이디케이,청소년관람불가,드라마,액션,,송승헌,권상우,김인권
20080149,스텝업 2 : 더 스트리트,97,20080313,미국,존 추,㈜스튜디오이쩜영,12세이상관람가,멜로/로맨스,드라마,,선자 손,윌 켐프,브리아나 에비건
20080258,댄 인 러브,98,20080327,미국,피터 헤지스,씨제이엔터테인먼트,12세이상관람가,코미디,드라마,멜로/로맨스,줄리엣 비노쉬,스티브 카렐,
20080148,"10,000 BC",109,20080313,미국,롤랜드 에머리히,워너브러더스 코리아(주),15세이상관람가,어드벤처,드라마,,스티븐 스트레이트,카밀라 벨,
20080252,데스 디파잉:어느 마술사의 사랑,96,20080327,영국,질리안 암스트롱,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,드라마,멜로/로맨스,스릴러,캐서린 제타-존스,가이 피어스,
20080228,어메이징 그레이스,118,20080320,미국,마이클 앱티드,이십세기폭스코리아(주),전체관람가,사극,드라마,,이안 그루퍼드,로몰라 가레이,마이클 갬본
20080055,워터호스,111,20080320,미국,제이 러셀,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,어드벤처,가족,판타지,에밀리 왓슨,벤 채플린,
20080847,원티드,110,20080626,미국,티무르 베크맘베토브,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,스릴러,액션,,제임스 맥어보이,안젤리나 졸리,모건 프리먼
20080736,강철중: 공공의 적 1-1,127,20080619,한국,강우석,(주)시네마서비스글로벌,15세이상관람가,드라마,액션,,설경구,정재영,강신일
20080663,크로싱,112,20080626,한국,김태균,(주)캠프비,12세이상관람가,드라마,,,차인표,신명철,주다영
20080653,쿵푸 팬더,92,20080605,미국,마크 오스본,씨제이엔터테인먼트,전체관람가,애니메이션,코미디,액션,더스틴 호프만,루시 리우,잭 블랙
20080709,섹스 앤 더 시티,143,20080605,미국,마이클 패트릭 킹,에스케이텔레콤(주),청소년관람불가,멜로/로맨스,코미디,,사라 제시카 파커,킴 캐트럴,신시아 닉슨
20080830,인크레더블 헐크,113,20080612,미국,루이스 리테리어,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,판타지,SF,에드워드 노튼,리브 타일러,
20070291,무림여대생,115,20080626,한국,곽재용,포도필름,15세이상관람가,멜로/로맨스,액션,코미디,신민아,온주완,유건
