movie_name,time,year,nation,director,company,grade,genres,actors,poster_url,link_url,user_rating
암수살인,109,20181003,한국,김태균,(주)필름295,15세이상관람가,"['범죄', '드라마']","['김윤석', '주지훈', '문정희']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1671/167105_P28_103614.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167105,8.32
타샤 튜더,104,20180913,일본,마츠타니 미츠에,(주)마노엔터테인먼트,전체관람가,['다큐멘터리'],[],https://ssl.pstatic.net/imgmovie/mdi/mit110/1773/177335_P15_113822.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177335,9.08
아쿠아맨,143,20181219,미국,제임스 완,워너브러더스 코리아(주),12세이상관람가,['액션'],"['제이슨 모모아', '앰버 허드', '니콜 키드먼']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1511/151153_P19_095147.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151153,8.35
PMC: 더 벙커,124,20181226,한국,김병우,(주)퍼펙트스톰필름,15세이상관람가,['액션'],"['하정우', '이선균', '제니퍼 엘']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1660/166092_P35_104446.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=166092,5.22
보헤미안 랩소디,134,20181031,미국,브라이언 싱어,이십세기폭스코리아(주),12세이상관람가,['드라마'],"['라미 말렉', '조셉 마젤로', '마이크 마이어스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156464_P49_182103.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156464,9.42
범블비,113,20181225,미국,트래비스 나이트,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"['액션', '어드벤처', 'SF']","['헤일리 스테인펠드', '파멜라 애들론', '존 시나']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164139_P12_153521.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164139,8.08
언니,93,20190101,한국,임경택,필름에이픽쳐스,청소년관람불가,['액션'],"['이시영', '박세완', '이준혁']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1846/184698_P01_110709.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184698,3.00
스윙키즈,133,20181219,한국,강형철,(주)안나푸르나필름,12세이상관람가,['드라마'],"['도경수', '박혜수', '자레드 그라임스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164101_P62_155759.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164101,8.37
점박이 한반도의 공룡2 : 새로운 낙원,93,20181225,한국,한상호,(주)드림써치C&C,전체관람가,['애니메이션'],"['박희순', '라미란', '김성균']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180379_P32_111508.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180379,9.14
그린치,89,20181219,미국,스콧 모시어,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"['애니메이션', '코미디']",['베네딕트 컴버배치'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1506/150688_P30_101919.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150688,8.33
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,103,20181219,일본,타카하시 와타루,씨제이이앤엠(주),전체관람가,['애니메이션'],"['박영남', '강희선', '김환진']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1729/172975_P10_141815.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172975,8.31
마약왕,139,20181219,한국,우민호,(주)하이브미디어코프,청소년관람불가,"['범죄', '드라마']","['송강호', '조정석', '배두나']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1572/157297_P23_134212.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=157297,6.37
돈,115,20190320,한국,박누리,(주)사나이픽처스,15세이상관람가,['범죄'],"['류준열', '유지태', '조우진']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1815/181559_P04_111412.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181559,8.50
어스,116,20190327,미국,조던 필,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"['공포(호러)', '스릴러']","['루피타 뇽', '윈스턴 듀크', '엘리자베스 모스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181414_P24_174349.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181414,7.02
장난스런 키스,122,20190327,대만,프랭키 첸,오드,12세이상관람가,['멜로/로맨스'],"['왕대륙', '임윤']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180381_P17_103533.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180381,8.41
캡틴 마블,123,20190306,미국,애너 보든,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"['액션', '어드벤처', 'SF']","['브리 라슨', '사무엘 L. 잭슨', '벤 멘델슨']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1326/132623_P22_133853.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=132623,6.74
덤보,111,20190327,미국,팀 버튼,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"['가족', '판타지']","['콜린 파렐', '마이클 키튼', '대니 드비토']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163787_P33_174808.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163787,9.02
악질경찰,127,20190320,한국,이정범,청년필름(주),청소년관람불가,"['범죄', '드라마']","['이선균', '전소니', '박해준']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1535/153580_P24_103637.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153580,5.80
미성년,95,20190411,한국,김윤석,(주)영화사레드피터,15세이상관람가,['드라마'],"['염정아', '김소진', '김혜준']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171785_P84_181225.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171785,8.33
콜레트,112,20190327,영국,워시 웨스트모어랜드,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,['드라마'],"['키이라 나이틀리', '도미닉 웨스트', '엘리너 톰린슨']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1715/171533_P29_143351.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171533,8.68
